,ds,분기당_매출_금액,분기당_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,점포수
10,2016-3분기,30820259190.500397,6831168.756485687,23786133727.402905,7091068645.644703,4409335564.012058,4589188971.748999,4796897400.326809,4726492174.1310005,5098605961.986269,3907947689.8067064,3035365871.524974,3093521783.5985312,5705056786.034387,4949484885.470641,4693612459.257624,7262978255.361652,4793427827.970671,17529754618.769863,11064071724.38465,547404411.6493778,11736533986.006289,8476497883.94508,4210136511.4474154,2259628426.662022,741807709.9123013,5334275.168124447,1465953.8856151989,976661.5581135923,1031283.81958282,1082343.8538007361,1039352.2363429554,1127014.7094749357,851591.0004753298,630666.8857090274,544763.9340196247,1512194.947138695,1227551.4746756752,1056553.9196170394,1567040.5937237167,866087.6541138769,3900239.3247993584,2669695.510316205,190647.79416731483,3178618.6240314855,1730637.636345992,824514.244911912,497950.3440483624,131302.60761020402,112.70624796886145
11,2016-4분기,29586570750.146347,6186938.494172838,22283017129.960655,7257449057.953703,4192179922.378209,4243862977.5691023,4386533328.681786,4484092378.928308,4855234810.02804,4064817829.957632,3055034389.0683722,3164321814.755749,5346539424.952646,4632064937.280825,4402029689.819921,7094311737.238892,4683289229.237472,16761605341.568224,10509781083.94982,489502394.707338,11437662449.256134,8211064088.352959,3996004035.954738,1984526226.7456646,680911183.2064965,4721924.866022425,1439587.9821400386,897142.0676308072,915017.8039957443,945644.2601106195,928350.1925169185,998479.6663779735,831260.5424946579,615863.1811042093,537557.4432806263,1335286.218718215,1091798.0315693256,948320.6209969523,1453811.2563038412,808012.4108317367,3525411.732799979,2405620.6854204554,157186.3904698264,2872495.73718597,1601792.6614474498,753603.8880432677,416353.2179161261,111404.3656394873,114.05022046702561
12,2017-1분기,30372553394.51386,6352514.220965261,23632793672.472073,6667173947.623827,4419065532.278163,4696465702.382139,4814717635.460918,4611098350.788855,4851455359.181254,3575655281.4150004,2883423815.70602,2784452676.8856535,5523348881.417098,4865678516.618044,4522672700.541122,7380426897.598996,4707402206.573739,17266792846.943512,11043998330.106787,472045002.1791921,11370692581.217875,8574027453.171784,4119064984.4683857,2175566520.2522783,757710172.7455664,4983784.566168021,1280315.972157277,939661.6957580552,999420.6494972727,1018591.4023575837,950608.0514398541,1003166.2407661611,732767.3228808912,561855.6768947328,461554.29945130984,1392750.1741567696,1151968.430092187,979637.8967313281,1505782.3521926417,773868.1702308559,3581170.2704084753,2532948.4689230975,148817.56927673297,2920801.1693281187,1667986.069549034,764820.0570971365,456074.0732739354,127024.42509090005,113.9683888979951
13,2017-2분기,31799166280.886734,6741443.833940849,24201841701.98604,7495381902.862991,4612949120.982481,4603294889.312009,4757743014.52906,4823761408.151463,5055062361.885367,3982176661.404221,3143183990.701352,3108223529.103578,5709193992.510862,4999529516.482563,4723846128.880337,7469460719.287592,5060439957.266465,18471689210.332653,11093689777.033,518507860.8412167,11340957559.09411,8936282237.249697,4511119480.987951,2439971470.302772,816643929.7849569,5134366.279220343,1457418.782010165,972846.0952548551,994931.5230705533,1025053.904100135,986385.6100162523,1066925.202413772,842533.037358898,634485.6838729365,529659.0721239666,1444999.9001882568,1193950.28214438,1046727.5727196515,1570561.8121061786,847390.0821280428,3843653.5694161,2599633.3722476196,178960.85690829868,2959371.685296398,1753149.027491394,861805.995417665,514512.87640899763,144108.91539210355,113.96704853204645
14,2017-3분기,33619682594.296967,7224262.049377469,25519719030.866386,7737155804.254153,4781401747.325373,4902946380.956347,5168343558.538457,5214196907.347927,5383577763.472966,4045864018.2355666,3252732766.16932,3235332505.874622,6152877434.22822,5346538766.687534,4963447812.956572,7917565186.424776,5134425289.411374,19512386611.683735,11738445027.871645,645035553.0128356,12036682839.665422,8810307119.16114,4854240700.926857,2636287865.099079,842701845.0502908,5553980.53144348,1498686.3566653957,1018203.9888720801,1079254.6738655993,1127301.6041419622,1063548.7284802855,1151116.2971174177,870645.4393180767,654764.3403175352,563737.2191093229,1568350.8448768752,1291882.55869094,1119675.5843513808,1664342.6376503413,879877.4179940986,4103514.359014825,2806379.195009779,229842.14677496668,3220302.2241883758,1755327.9698097075,938097.3975727849,567118.9362787011,152568.51140538367,112.92286273953783
15,2017-4분기,31483267844.963043,6530635.421293143,23764217008.88613,7692047361.291082,4459227835.755553,4604647828.430541,4696727152.483228,4724214993.032888,5109613473.686627,4027166302.1772075,3281159643.612385,3140917830.6987753,5654094048.782941,4988256823.423236,4585185889.542004,7572477729.028736,4974800859.714788,18179651747.873466,10956822952.897177,524777434.24786866,11440393844.771128,8447072758.929565,4528179535.1213665,2287836648.46415,783782397.9154735,4944340.707587838,1408378.570064622,900046.4596330285,961281.3878088671,988693.1983123709,928275.9939630738,1034268.3558936623,811831.1582019241,627568.7814672384,523317.1546820095,1367491.9254159958,1139113.8223176163,989411.7955833968,1535499.3486846136,803366.535454607,3696669.077046017,2496424.078642897,177868.39737535367,2886276.567683209,1634738.86531236,842099.3798602169,469113.3714022952,133613.6120703562,113.29226556967157
16,2018-1분기,29894305237.288773,6171946.929436891,23105370561.38479,6751105776.2577505,4234766008.1064067,4549439140.01742,4776394187.582694,4597369772.764549,4767311501.031027,3468519079.9029927,2840366436.6590776,2631989856.468082,5474098993.098619,4922982697.682061,4396945695.397578,7268902280.598467,4529413649.765924,17430410637.3592,10708021753.512358,428456197.7255714,10638930163.357195,8070791739.522564,4404278917.227417,2365234869.438457,813067637.2875047,4872711.075380321,1185447.3969185408,858535.8281390637,952644.3406946415,989881.4503543375,891761.213910163,980830.9999248284,689816.0904640765,538148.1729036511,423191.83808619034,1350562.4442197673,1147220.1305784322,948685.1926783904,1460806.0761501607,700786.0564318311,3527041.803387928,2453682.440738538,152490.83160741825,2780559.064661963,1545883.9305403098,791637.4838995648,485133.2336934496,137501.93741876658,110.97102552011117
17,2018-2분기,30970641322.00605,6578719.024122104,23557144472.091476,7389953787.733524,4496802942.399136,4592935648.124504,4593630972.341568,4714321777.804398,5007079016.102218,4007913831.538665,3126433907.6519275,3057517225.647968,5787852397.874049,5026282843.654589,4563254053.018124,7320039872.429673,4919040228.999781,18294074999.318592,10798698025.005587,563593781.3280191,11156786582.644802,8464919704.499317,4717888802.764074,2604985055.8698797,893818311.4059715,5164155.56617068,1438203.8560243272,945394.4221393149,990659.1566781485,1008678.962623326,966597.0068998733,1072683.6585251167,833417.9268409712,638810.1236702699,510984.54493693594,1443185.1145278842,1208989.387446034,1013516.1283383523,1538130.2929405477,820610.4988353944,3860053.749913643,2580540.551651107,192493.34566009554,2884474.715436108,1671613.8387629604,895632.3329417972,554746.0548834753,160339.3226697694,111.91265215017526
18,2018-3분기,32516523705.84677,7147989.768886879,25110676936.24442,7494483819.192893,4813160877.856223,4878541470.029027,5021984341.402071,5062656356.464186,5249374220.388812,4170614316.4104023,3200397706.395712,3399357109.972563,6195588745.086774,5353382011.006792,4825970481.890111,7663780628.569311,5036784787.001782,19220845049.483887,11451071321.487698,746408928.211065,12417808170.007456,8451277081.247836,5018846372.586029,2847244288.4978476,929667051.3837236,5662545.168071218,1527490.2374566337,1067856.8249968684,1095955.6815314167,1133474.6536053082,1085053.996853548,1155795.6769590802,885374.9579913088,665643.3323285166,586229.3317245959,1607851.1557506314,1322861.0043190485,1095702.470475169,1637079.4268722406,896691.9246329317,4171208.2677596747,2844089.9364961367,256101.53551659064,3278985.261651619,1682636.815332664,972181.2217296374,631959.7808289692,172049.48973977455,109.70818914120062
19,2018-4분기,30541975405.845676,6269031.829347757,23182094506.19525,7327263605.583118,4427197179.662264,4531604714.533876,4555678892.708347,4593966483.710991,5004332093.475613,3989752544.3204036,3128977361.0436697,3127956994.107579,5589827354.841919,4876890537.59403,4430313250.269476,7420618903.61161,4885375526.20436,17970919537.265694,10739983257.446535,563454334.9853798,11519690287.532568,8202520037.551891,4554713859.279312,2471227468.989792,875780884.2217331,4927949.359466097,1376637.5393037423,904273.2369993088,964384.3154399216,966460.1802571305,931735.1619403663,1024616.1481884826,793576.8424890173,611243.0876301274,510631.7359770521,1370188.6637367085,1136217.151571489,954219.6542693763,1498821.5976310126,795865.4825445869,3668777.521237512,2495025.929834205,179429.7883553835,2928179.69074081,1576745.471714341,830713.3359785967,520685.79871428164,153251.71972871397,112.43183766068319
