,ds,분기당_매출_금액,분기당_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,점포수
19,2018-4분기,179357744.71824175,1305.570126080811,157483943.99388173,22245067.805447277,32565037.340007126,45001111.626923315,23802152.600965586,25635200.166753404,30370352.235523246,19856082.961158372,2336181.1542816283,-231710.90930552222,24937967.481229004,35191185.05244635,85337152.44416851,33941927.450391784,16711.583985203877,78763197.52333921,23191526.996423986,8727.527434512718,7810281.6123295305,36142322.47039072,28086490.845822185,12035735.171252124,17816972.96399958,1142.0106041528452,161.22930679541,251.4573333806259,231.09631911140937,202.62477066883272,210.89673080097498,245.4171942651047,156.93181032446284,4.343275724752711,-6.435808940960175,215.7166558754105,366.2819049721585,551.0522725573629,179.25407849738258,0.5663813400328195,635.6800723966514,218.95180111228126,0.2516482614990596,86.18348167280689,352.629638033666,264.68572577180566,79.07495275353465,71.80810495530214,12.693745589005683
20,2019-1분기,100102334.88580452,1179.7146801553688,89691500.9690004,10156784.616927508,19594694.27506116,15179462.423244253,22140341.84519998,16824115.130221747,16358782.82101894,10052236.454920482,123982.87836776115,1612167.8017826597,12429878.181103062,30462408.21850677,32076436.961373203,22199385.179506026,1330051.0570460204,36912695.86983778,22148369.36266003,-7126.7294607861695,3429937.43842168,19566700.832907904,20035191.59684917,13118682.297495183,2657624.265948994,1006.2292148872575,172.43189233008718,194.95187682784507,203.77599353028717,194.21511528841864,212.0009496026859,204.88819109625416,169.5718252117755,3.427818831081477,14.509919145415783,231.2098883950355,325.4257259006298,421.78200219544783,174.00634162486313,13.16818251133867,527.5207378525909,274.8928943254167,-0.1891846640505046,84.79435892238719,333.4727014208855,220.4627448464061,115.53073727383969,50.43233053339168,9.27552134721956
21,2019-2분기,275525846.4659313,1413.06427994141,239491452.9216906,35821664.55323681,40910851.078581035,64807773.78407623,35008446.4137098,58110743.75442425,41107343.46867439,36298582.140640765,-495423.9268384349,-156682.12346859463,46418379.6822802,41037256.706649974,117221488.0862121,71167779.83889326,-156619.13494166546,123798963.50267483,33224502.932198025,35515.36514942964,5987994.340442399,64260912.77890754,60359860.746830896,18609714.852269866,7626414.241164107,1227.6890766726924,183.45234973236086,228.19153863967546,257.05771077271567,200.5512957433865,268.50588822942757,275.64908469358505,188.82208596171847,-5.017254805574036,-4.475319986268007,244.73027541874794,372.97397723711896,534.1122034666745,293.2251180954618,-27.11994935736344,627.9444550221822,292.4512007255269,0.5427863456903539,81.23693385118212,345.7029180963315,336.97637563634,76.06458042809294,78.61187209066249,13.264605143628936
22,2019-3분기,291054258.25860256,1394.6893894034754,244487539.01588312,46007303.333385386,55709816.23057006,82424010.45341949,33503222.85353904,25074507.613985784,47598195.26235883,45717759.23862386,334654.78744995384,-416045.81803784985,49936345.049749106,64790196.04113957,116129535.68282734,53452947.79739387,7005039.254215864,142207394.88518196,16750237.102963002,10517.740579737674,3698661.3692132724,34762659.20856973,84420732.95115925,25027456.734487556,10841741.509438269,1197.4796736919845,195.678589689611,263.2213912374037,246.9733312983814,224.7258752002872,194.92109887085405,271.43586717835615,200.08296665559197,-3.8574324032663103,-11.776314069719504,262.64415203317066,400.6940859027437,564.2235867503358,174.65583595180786,4.698509822793383,659.0599871004629,227.05047055604518,0.16325490713831603,71.5449970505215,308.5816292362549,355.0679489630609,94.22161982298664,57.98954715030936,15.182837857806883
23,2019-4분기,133042443.98775896,1017.9918139874808,118809442.40021673,14413193.47621505,19744709.688936457,42500031.98966493,13860762.37596563,19380496.799559426,23729658.505381852,11046500.834296755,3349500.6102892105,-645264.5414487943,15445170.172918279,17866251.540061973,76981464.79261504,24187641.931297593,-769904.1755503714,62481072.07618545,16778794.5848004,-7383.188102447966,5004316.289650949,31448365.377960652,22287365.771420594,5307857.007034487,15115958.02663674,906.3534591418987,108.64561958289764,223.5499724529965,183.2597039123907,154.31251708046372,157.53590181572457,188.5687799912743,107.79507881576384,1.06324778730583,-12.314523672453808,190.94985704510248,282.31381528615873,459.08040890199254,106.37920298414662,-8.728052361678763,504.56306732105816,177.11897064876234,-0.28684590316428715,61.79585033804422,253.3559467979044,235.94220680918028,64.85768207935526,66.48922550927827,10.690912001151698
24,2020-1분기,69532242.32144807,1062.42019569147,64470930.13314782,4891415.721135743,13530246.378851026,6233826.8767391145,21249097.950811695,9555009.702576108,13763616.68999259,4431573.128564835,496492.79942127084,3184107.5108119017,11240810.553554446,26939480.85988321,12985921.87633358,12930474.288537461,2040383.0690542012,29400508.501638044,18891572.34040533,-10828.500942623257,761874.4972296273,12417791.926847672,16054890.746845009,20148122.221835904,-1300345.7296578642,905.7549673745075,154.1420568511604,171.89304297927418,179.4585378806245,180.30994091935986,183.69512030851598,193.5892573160745,149.8749069587276,4.7989428861583665,24.07206766114937,257.41706888195347,288.64392627266704,338.8912715946037,139.72184974418985,13.770834873363569,474.30775140772124,281.57112789644833,-0.30386311256665444,69.55651381273259,307.5976009081194,167.11140622705085,156.4891088122642,57.11719198962402,7.556560091573981
25,2020-2분기,156838132.62435585,1145.4980993696804,145050790.71735615,11533450.860765435,24816657.580123834,31437753.606650896,37137291.22291855,23790519.253373444,28587551.632814214,8541252.866455741,3013598.646243508,-215528.60406421497,21242257.08302871,27227647.53239844,67105076.99166214,42773632.383808464,-1280064.9344021082,78741402.81864297,23535967.93245509,600.4367077504139,6476617.071898468,32272369.112814844,36211606.2716067,9184191.895962603,17998724.44538945,1004.5939310017714,138.71122402135856,210.45831603152115,197.98067679425193,182.71981555979778,197.54041677031094,218.90429167180358,128.76569524727344,10.400187297537665,1.304877245580582,201.6598820975519,272.55713996101446,474.5178636950251,198.91111115952452,-3.639051044300487,561.7052908194735,219.8533961574755,-0.05678410423256919,68.21803691111576,329.69343080172405,244.9128672187037,84.94845671291812,55.297552290435426,9.140973161283714
26,2020-3분기,145623022.73312628,1196.513323201254,123233781.41838528,22563360.671707846,24139965.351097107,19110466.79679545,24515736.037407357,32849470.39522102,22977726.183433782,23439941.36761424,-891446.6658331557,-189274.00380507112,22350832.808679014,33007054.259945862,57372224.504946895,31280410.531552758,1670872.7199238501,55743075.67165174,26131740.002361618,-2903.311862203438,4616589.681988356,14037651.3108978,28050042.876878113,9678434.287572863,25442379.459079787,1066.9588239308482,126.23548938654523,200.77839413339518,208.45063990135358,165.1617783589515,256.62563501936984,237.547381485276,125.59431565703647,0.8719396217379902,-0.0840216406583183,243.68671069505498,344.5964618245714,403.96076042691624,191.92032560484574,13.023786460103139,554.8438284079036,182.9106195151756,-0.07304829262342394,60.42588176087189,252.15460855894344,237.96338026757456,102.88289163303307,83.37771345229982,9.692888412455392
27,2020-4분기,178850721.620808,1258.3509994971323,157118243.0344115,21122733.69842636,47433040.2895328,28540547.73629655,27074823.800809167,18534278.226662263,35526805.86934509,22109518.753477596,-931680.2380426982,-330820.049968767,29532788.454593223,73276468.23500034,44685780.663990885,31969962.493049532,-484836.3956967611,58078320.92064886,22654379.85951593,20967.314960906024,9813760.341623388,21084132.986845013,30461251.812807493,12540297.792131077,6614114.583081124,1067.1409746048887,190.06551956280768,188.38241668357944,212.9532356959314,202.33773660080908,204.03090844149312,264.2403462904971,187.90475234006587,2.778517883790297,-2.053926485408536,210.38766307393706,395.64000589007685,499.288855768487,156.79705106218034,-1.6594432740667173,618.6225915091113,185.03298985174519,0.7997731402530694,106.35456117209421,335.4667418071437,240.54103650913737,74.00349886978664,48.940322942342775,8.254853433564017
28,2021-1분기,189097333.42539945,1070.7047461048194,176221858.51752737,13244736.84597081,32232625.791815825,87699306.91085984,12220865.841518123,15535094.565593937,27676520.585796766,12665520.837817527,546532.7315822772,-306843.78205331136,18218586.829995062,124234544.04767044,33210379.084782586,12494963.44160866,790496.7575559262,87561795.5053758,14339909.835618962,-6932.110940610401,2236689.5273980275,23374593.400654808,66001730.58494783,6675994.159243922,3314880.438363241,892.7272062379942,174.39921652205135,174.38878145606517,232.51054194876986,168.75681087103945,131.94683153438842,185.88459145542367,175.72773838941413,-0.9109410777522449,-4.319990351599772,153.6728851984715,307.2769741010597,459.74849902792937,155.70862615971686,-0.010050672135648142,528.3614711593167,222.1919611738009,-0.2387752498001321,64.39536531498183,324.348414206385,211.10761463343567,88.41209117490514,64.38589919819262,6.615081193401938
